"resp.id","ques","alt","chid","Duration","Rent","Type","Roommates","Commute","Bathroom","Parking","Choice"
2,12,"C",30,416,"800","Apartment","3","5","Private","No",1
2,13,"A",31,416,"800","Townhouse","2","45","Shared","Yes",0
2,13,"B",31,416,"600","Townhouse","1","45","Private","Yes",0
2,13,"C",31,416,"800","Townhouse","1","20","Private","Yes",1
2,14,"A",32,416,"1000","Townhouse","3","45","Private","No",0
2,14,"B",32,416,"600","House","1","20","Shared","No",0
2,14,"C",32,416,"600","House","1","45","Shared","Yes",1
2,15,"A",33,416,"800","House","3","5","Shared","No",0
2,15,"B",33,416,"800","House","3","45","Private","Yes",1
2,15,"C",33,416,"800","Townhouse","3","45","Private","Yes",0
2,16,"A",34,416,"800","Townhouse","3","5","Private","No",1
2,16,"B",34,416,"1000","House","3","45","Private","Yes",0
2,16,"C",34,416,"1000","Townhouse","3","20","Shared","Yes",0
2,17,"A",35,416,"800","House","3","20","Shared","Yes",0
2,17,"B",35,416,"800","Townhouse","1","5","Private","No",0
2,17,"C",35,416,"600","Apartment","1","45","Shared","No",1
2,18,"A",36,416,"600","Apartment","1","5","Private","Yes",1
2,18,"B",36,416,"600","Townhouse","2","5","Shared","Yes",0
2,18,"C",36,416,"1000","House","3","45","Shared","Yes",0
3,1,"A",37,434,"600","House","2","20","Shared","Yes",1
3,1,"B",37,434,"800","Apartment","3","20","Shared","Yes",0
3,1,"C",37,434,"600","Apartment","1","5","Shared","Yes",0
3,2,"A",38,434,"600","Townhouse","2","45","Shared","Yes",0
3,2,"B",38,434,"800","Apartment","3","20","Shared","Yes",1
3,2,"C",38,434,"800","Apartment","1","20","Private","Yes",0
3,3,"A",39,434,"1000","House","1","20","Shared","Yes",1
3,3,"B",39,434,"1000","Apartment","3","5","Private","No",0
3,3,"C",39,434,"600","Apartment","1","5","Private","Yes",0
3,4,"A",40,434,"800","Apartment","1","45","Shared","No",0
3,4,"B",40,434,"600","Apartment","2","45","Private","Yes",1
3,4,"C",40,434,"800","Townhouse","2","45","Private","No",0
3,5,"A",41,434,"600","House","1","20","Private","No",0
3,5,"B",41,434,"800","Apartment","3","20","Private","Yes",0
3,5,"C",41,434,"1000","Apartment","1","45","Private","No",1
3,6,"A",42,434,"800","House","1","20","Private","No",1
3,6,"B",42,434,"800","Townhouse","3","45","Private","No",0
3,6,"C",42,434,"600","House","2","5","Private","No",0
3,7,"A",43,434,"1000","House","3","45","Private","No",0
3,7,"B",43,434,"1000","Apartment","3","45","Shared","No",1
3,7,"C",43,434,"600","House","2","45","Private","No",0
3,8,"A",44,434,"800","Townhouse","3","5","Shared","Yes",0
3,8,"B",44,434,"1000","Townhouse","2","45","Private","Yes",1
3,8,"C",44,434,"600","Apartment","2","45","Shared","No",0
3,9,"A",45,434,"600","Townhouse","1","45","Private","No",1
3,9,"B",45,434,"600","House","3","45","Shared","No",0
3,9,"C",45,434,"800","Apartment","3","20","Private","Yes",0
3,10,"A",46,434,"800","House","3","5","Shared","Yes",0
3,10,"B",46,434,"600","Apartment","1","5","Private","Yes",1
3,10,"C",46,434,"800","House","3","45","Shared","Yes",0
3,11,"A",47,434,"1000","House","2","20","Shared","Yes",0
3,11,"B",47,434,"600","Townhouse","2","20","Private","Yes",0
3,11,"C",47,434,"800","Apartment","2","5","Shared","Yes",1
3,12,"A",48,434,"600","Townhouse","2","20","Private","Yes",0
3,12,"B",48,434,"1000","House","1","20","Shared","No",1
3,12,"C",48,434,"800","Townhouse","2","20","Private","Yes",0
3,13,"A",49,434,"600","Apartment","1","45","Private","Yes",0
3,13,"B",49,434,"600","Townhouse","3","20","Shared","Yes",1
3,13,"C",49,434,"800","Townhouse","2","45","Shared","No",0
3,14,"A",50,434,"1000","Townhouse","1","5","Private","No",0
3,14,"B",50,434,"600","Apartment","1","20","Shared","No",0
3,14,"C",50,434,"600","House","2","5","Private","No",1
3,15,"A",51,434,"600","Townhouse","3","20","Private","Yes",0
3,15,"B",51,434,"600","Townhouse","2","5","Private","Yes",0
3,15,"C",51,434,"1000","Apartment","2","45","Private","No",1
3,16,"A",52,434,"1000","Apartment","1","5","Private","No",1
3,16,"B",52,434,"600","Townhouse","1","5","Private","Yes",0
3,16,"C",52,434,"800","House","2","45","Private","No",0
3,17,"A",53,434,"600","Townhouse","1","20","Private","Yes",0
3,17,"B",53,434,"600","House","3","5","Shared","Yes",0
3,17,"C",53,434,"800","House","3","5","Private","No",1
3,18,"A",54,434,"600","Townhouse","2","20","Shared","No",1
3,18,"B",54,434,"800","Apartment","3","45","Shared","No",0
3,18,"C",54,434,"800","Townhouse","2","45","Private","No",0
4,1,"A",55,244,"1000","Apartment","3","20","Private","Yes",0
4,1,"B",55,244,"600","Townhouse","2","5","Shared","Yes",0
4,1,"C",55,244,"800","Townhouse","2","5","Private","Yes",1
4,2,"A",56,244,"1000","Townhouse","2","5","Shared","No",1
4,2,"B",56,244,"1000","Townhouse","2","45","Private","No",0
4,2,"C",56,244,"600","Apartment","3","20","Private","No",0
4,3,"A",57,244,"800","House","2","5","Shared","No",1
4,3,"B",57,244,"600","Townhouse","1","45","Private","No",0
4,3,"C",57,244,"1000","Apartment","1","5","Shared","No",0
4,4,"A",58,244,"1000","House","3","20","Private","No",1
4,4,"B",58,244,"600","Apartment","1","20","Shared","No",0
4,4,"C",58,244,"1000","Townhouse","1","5","Shared","No",0
4,5,"A",59,244,"1000","Apartment","1","5","Private","No",0
4,5,"B",59,244,"1000","Apartment","3","45","Private","Yes",0
4,5,"C",59,244,"600","Townhouse","3","45","Private","Yes",1
4,6,"A",60,244,"800","House","1","5","Shared","No",0
4,6,"B",60,244,"1000","House","3","5","Private","No",1
4,6,"C",60,244,"800","House","1","5","Shared","Yes",0
4,7,"A",61,244,"600","Townhouse","1","5","Private","Yes",0
4,7,"B",61,244,"600","House","2","45","Shared","No",0
4,7,"C",61,244,"600","Townhouse","3","20","Private","No",1
4,8,"A",62,244,"800","Apartment","3","45","Private","Yes",0
4,8,"B",62,244,"1000","House","2","45","Shared","No",1
4,8,"C",62,244,"1000","House","3","5","Shared","No",0
4,9,"A",63,244,"800","Apartment","3","5","Private","Yes",0
4,9,"B",63,244,"1000","Apartment","2","45","Private","No",1
4,9,"C",63,244,"600","House","2","5","Shared","No",0
4,10,"A",64,244,"800","House","3","45","Private","No",1
4,10,"B",64,244,"600","Townhouse","3","45","Private","Yes",0
4,10,"C",64,244,"1000","Townhouse","3","45","Shared","Yes",0
4,11,"A",65,244,"1000","Apartment","1","5","Private","No",1
